date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:08	69336/69336	---M-Z	200	added ('OK')	text/html	etag:%22159a10de-10ed8-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-accordion.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-accordion.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:08	62931/62931	---M-Z	200	added ('OK')	text/html	etag:%22159a10e2-f5d3-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-carousel.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-carousel.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:08	71446/71446	---M-Z	200	added ('OK')	text/html	etag:%22159a10e4-11716-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-datepicker.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-datepicker.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:08	70634/70634	---M-Z	200	added ('OK')	text/html	etag:%22159a10ea-113ea-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-popover.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-popover.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:09	79414/79414	---M-Z	200	added ('OK')	text/html	etag:%22159a10ec-13636-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-tabs.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-tabs.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:09	68472/68472	---M-Z	200	added ('OK')	text/html	etag:%22159a10ed-10b78-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-tooltip.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-tooltip.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:09	57955/57955	---M-Z	200	added ('OK')	text/html	etag:%22159a1113-e263-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/sweet-alerts.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/sweet-alerts.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:10	61414/61414	---M-Z	200	added ('OK')	text/html	etag:%22159a1119-efe6-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/toastr.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/toastr.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:10	83708/83708	---M-Z	200	added ('OK')	text/html	etag:%22159a110e-146fc-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/nouislider.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/nouislider.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:10	63393/63393	---M-Z	200	added ('OK')	text/html	etag:%22159a111c-f7a1-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/upload.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/upload.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:11	58997/58997	---M-Z	200	added ('OK')	text/html	etag:%22159a10f6-e675-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/editor.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/editor.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:11	65427/65427	---M-Z	200	added ('OK')	text/html	etag:%22159a10f0-ff93-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/dragndrop.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/dragndrop.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:11	52225/52225	---M-Z	200	added ('OK')	text/html	etag:%22159a111a-cc01-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/tour.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/tour.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:12	72456/72456	---M-Z	200	added ('OK')	text/html	etag:%22159a1104-11b08-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/image-cropper.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/image-cropper.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:12	69429/69429	---M-Z	200	added ('OK')	text/html	etag:%22159a1116-10f35-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/tags-input.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/tags-input.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:12	57760/57760	---M-Z	200	added ('OK')	text/html	etag:%22159a1114-e1a0-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/switch.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/switch.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:13	71739/71739	---M-Z	200	added ('OK')	text/html	etag:%22159a1109-1183b-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/inputs.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/inputs.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:13	71374/71374	---M-Z	200	added ('OK')	text/html	etag:%22159a1108-116ce-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/input-groups.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/input-groups.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:13	86027/86027	---M-Z	200	added ('OK')	text/html	etag:%22159a1107-1500b-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/input-grid.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/input-grid.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:14	75180/75180	---M-Z	200	added ('OK')	text/html	etag:%22159a10d6-125ac-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/basic-forms.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/basic-forms.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:14	72035/72035	---M-Z	200	added ('OK')	text/html	etag:%22159a1102-11963-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/horizontal-forms.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/horizontal-forms.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:14	87548/87548	---M-Z	200	added ('OK')	text/html	etag:%22159a1101-155fc-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/hidden-labels.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/hidden-labels.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:15	82078/82078	---M-Z	200	added ('OK')	text/html	etag:%22159a10fc-1409e-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/form-actions.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/form-actions.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:15	71953/71953	---M-Z	200	added ('OK')	text/html	etag:%22159a10d7-11911-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/bordered-forms.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/bordered-forms.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:15	66566/66566	---M-Z	200	added ('OK')	text/html	etag:%22159a1112-10406-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/striped-rows.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/striped-rows.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
